session,experiment,include
session14_W_001,0,1
session14_W_001,1,0
session14_W_001,2,0
session14_W_001,3,0
session14_W_001,4,0
session14_W_001,5,0
session14_W_001,6,0
session14_W_001,7,0
session14_W_001,8,1
session14_W_001,9,0
session14_W_001,10,1
session14_W_001,11,0
session14_W_001,12,1
session14_W_001,13,0
session14_W_001,14,1
session14_W_001,15,0
session14_W_001,16,1
session14_W_001,17,0
session14_W_001,18,1
session14_W_001,19,0
session15_W_002,0,0
session15_W_002,1,0
session15_W_002,2,0
session15_W_002,3,0
session15_W_002,4,0
session15_W_002,5,0
session15_W_002,6,0
session15_W_002,7,0
session15_W_002,8,0
session15_W_002,9,0
session15_W_002,10,0
session15_W_002,11,0
session15_W_002,12,0
session15_W_002,13,0
session15_W_002,14,0
session15_W_002,15,0
session15_W_002,16,0
session15_W_002,17,0
session15_W_002,18,0
session15_W_002,19,0
session16_W_003,0,0
session16_W_003,1,0
session16_W_003,2,0
session16_W_003,3,0
session16_W_003,4,0
session16_W_003,5,0
session16_W_003,6,0
session16_W_003,7,0
session16_W_003,8,0
session16_W_003,9,0
session16_W_003,10,0
session16_W_003,11,0
session16_W_003,12,0
session16_W_003,13,0
session16_W_003,14,0
session16_W_003,15,0
session16_W_003,16,0
session16_W_003,17,0
session16_W_003,18,0
session16_W_003,19,0
session17_W_004,0,0
session17_W_004,1,0
session17_W_004,2,0
session17_W_004,3,0
session17_W_004,4,0
session17_W_004,5,0
session17_W_004,6,0
session17_W_004,7,0
session17_W_004,8,0
session17_W_004,9,0
session17_W_004,10,0
session17_W_004,11,0
session17_W_004,12,0
session17_W_004,13,0
session17_W_004,14,0
session17_W_004,15,0
session17_W_004,16,0
session17_W_004,17,0
session17_W_004,18,0
session17_W_004,19,0
session17_W_004,20,0
session18_W_005,0,0
session18_W_005,1,0
session18_W_005,3,0
session18_W_005,4,0
session18_W_005,5,0
session18_W_005,6,0
session18_W_005,7,0
session18_W_005,8,0
session18_W_005,9,0
session18_W_005,10,0
session18_W_005,11,0
session18_W_005,12,0
session18_W_005,13,0
session18_W_005,14,0
session18_W_005,15,0
session18_W_005,16,0
session18_W_005,17,0
session18_W_005,18,0
session18_W_005,19,0
session18_W_005,20,0
session19_W_006,0,0
session19_W_006,1,0
session19_W_006,2,0
session19_W_006,3,0
session19_W_006,4,0
session19_W_006,5,0
session19_W_006,6,0
session19_W_006,7,0
session19_W_006,8,0
session19_W_006,9,0
session19_W_006,10,0
session19_W_006,11,0
session19_W_006,12,0
session19_W_006,13,0
session19_W_006,14,0
session19_W_006,15,0
session19_W_006,16,0
session19_W_006,17,0
session19_W_006,18,0
session19_W_006,19,0
session19_W_006,20,0
session19_W_006,21,0
session20_W_007,0,0
session20_W_007,1,0
session20_W_007,2,0
session20_W_007,3,0
session20_W_007,4,0
session20_W_007,5,0
session20_W_007,6,0
session20_W_007,7,0
session20_W_007,8,0
session20_W_007,9,0
session20_W_007,10,0
session20_W_007,11,0
session20_W_007,12,0
session20_W_007,13,0
session20_W_007,14,0
session20_W_007,15,0
session20_W_007,16,0
session20_W_007,17,0
session20_W_007,18,0
session20_W_007,19,0
session20_W_007,20,0
session20_W_007,21,0
session21_W_008,0,0
session21_W_008,1,0
session21_W_008,2,0
session21_W_008,3,0
session21_W_008,4,0
session21_W_008,5,0
session21_W_008,6,0
session21_W_008,7,0
session21_W_008,8,0
session21_W_008,9,0
session21_W_008,10,0
session21_W_008,11,0
session21_W_008,12,0
session21_W_008,13,0
session21_W_008,14,0
session21_W_008,15,0
session21_W_008,16,0
session21_W_008,17,0
session21_W_008,18,0
session21_W_008,19,0
session21_W_008,20,0
session21_W_008,21,0
session21_W_008,22,0
session22_W_009,0,0
session22_W_009,1,0
session22_W_009,2,0
session22_W_009,3,0
session22_W_009,4,0
session22_W_009,5,0
session22_W_009,6,0
session22_W_009,7,0
session22_W_009,8,0
session22_W_009,9,0
session22_W_009,10,0
session22_W_009,11,0
session22_W_009,12,0
session22_W_009,13,0
session22_W_009,14,0
session22_W_009,15,0
session22_W_009,16,0
session22_W_009,17,0
session22_W_009,18,0
session22_W_009,19,0
session22_W_009,20,0
session23_W_010,0,1
session23_W_010,1,0
session23_W_010,2,1
session23_W_010,3,0
session23_W_010,4,1
session23_W_010,5,0
session23_W_010,6,1
session23_W_010,7,0
session23_W_010,8,1
session23_W_010,9,0
session23_W_010,10,1
session23_W_010,11,0
session23_W_010,12,1
session23_W_010,13,0
session23_W_010,14,1
session23_W_010,15,0
session23_W_010,16,1
session23_W_010,17,0
session23_W_010,18,1
session23_W_010,19,0
session24_W_010,0,0
session24_W_010,1,0
session24_W_010,2,0
session24_W_010,3,0
session24_W_010,4,0
session24_W_010,5,0
session24_W_010,6,0
session24_W_010,7,0
session24_W_010,8,0
session24_W_010,9,0
session24_W_010,10,0
session24_W_010,11,0
session24_W_010,12,0
session24_W_010,13,0
session24_W_010,14,0
session24_W_010,15,0
session24_W_010,16,0
session24_W_010,17,0
session24_W_010,18,0
session24_W_010,19,0
session25_W_001,0,0
session25_W_001,1,0
session25_W_001,2,0
session25_W_001,3,0
session25_W_001,4,0
session25_W_001,5,0
session25_W_001,6,0
session25_W_001,7,0
session25_W_001,8,0
session25_W_001,9,0
session25_W_001,10,0
session25_W_001,11,0
session25_W_001,12,0
session25_W_001,13,0
session25_W_001,14,0
session25_W_001,15,0
session25_W_001,16,0
session25_W_001,17,0
session25_W_001,18,0
session25_W_001,19,0
session25_W_001,20,0
session25_W_001,21,0
session25_W_001,22,0
session25_W_001,23,0
